Area (cm2),PCE (%),Stability,Solvent1,Solvent2,Solvent3,Solvent4,ratio1,ratio2,ratio3,ratio4
0.1,18.25,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.07,17.77230769230769,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.04,17.01,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.185,15.0,,DMF,DMSO,,,0.8,0.2,0.0,0.0
0.083352,15.616,,DMF,DMSO,,,0.9,0.1,0.0,0.0
2.0,13.145454545454545,,DMF,DMSO,,,0.5,0.5,0.0,0.0
0.1,12.725,,DMF,DMSO,,,0.9,0.1,0.0,0.0
0.375,15.6525,,DMF,DMSO,,,0.9090909090909092,0.0909090909090909,0.0,0.0
0.0757,19.329,,DMF,DMSO,,,0.95,0.05,0.0,0.0
0.8,16.21,,DMF,DMSO,Formamide,,0.7222222222222222,0.2222222222222222,0.0555555555555555,0.0
0.11,14.5,,DMF,DMSO,GBL,,0.2,0.2,0.6,0.0
0.2285714285714286,14.62857142857143,,DMF,DMSO,GBL,,0.28,0.26,0.46,0.0
0.1,20.30333333333333,,DMF,DMSO,GBL,,0.4736842105263157,0.1052631578947368,0.4210526315789473,0.0
0.09,10.95,,DMF,DMSO,GBL,,0.64,0.16,0.2,0.0
0.1,14.166111111111112,,DMF,DMSO,GBL,,0.4,0.3,0.3,0.0
0.3025,15.7275,,DMF,DMSO,GBL,,0.3,0.35,0.35,0.0
0.09,20.68,,DMF,DMSO,GBL,,0.3,0.35,0.35,0.0
0.0919,18.683333333333334,,DMF,DMSO,NMP,,0.8,0.18,0.02,0.0
30.92,18.225,,DMF,NMP,,,0.8577981651376146,0.1422018348623853,0.0,0.0
0.09,17.4,,DMF,NMP,,,0.9090909090909092,0.0909090909090909,0.0,0.0
0.13,15.396666666666668,,DMF,NMP,,,0.6666666666666666,0.3333333333333333,0.0,0.0
0.6246666666666666,16.74,,DMF,NMP,,,0.8,0.2,0.0,0.0
0.11,19.95,,DMF,NMP,,,0.852359208523592,0.1476407914764079,0.0,0.0
0.16,13.928571428571429,,DMF,NMP,,,0.8571428571428571,0.1428571428571428,0.0,0.0
0.0771333333333333,16.49,,DMF,NMP,,,0.7,0.3,0.0,0.0
0.16,12.45,,DMF,NMP,,,0.85,0.15,0.0,0.0
0.1,17.146666666666665,,DMF,NMP,,,0.4705882352941176,0.5294117647058824,0.0,0.0
0.09,15.332,,DMF,NMP,,,0.9,0.1,0.0,0.0
0.11,20.82,,DMF,NMP,,,0.852359208523592,0.1476407914764079,0.0,0.0
0.1,18.7,,DMF,NMP,,,0.9,0.1,0.0,0.0
0.09,15.0,,DMF,THF,,,0.9090909090909092,0.0909090909090909,0.0,0.0
0.152,11.305,,DMF,THF,,,0.9523809523809524,0.0476190476190476,0.0,0.0
2.31,19.57333333333333,,DMF,Tetramethylene sulfoxide,,,0.5,0.5,0.0,0.0
0.1826580487804878,13.482489270386266,,DMSO,,,,1.0,0.0,0.0,0.0
0.1,11.195,,DMSO,,,,1.0,0.0,0.0,0.0
0.13,14.911333333333337,,DMSO,,,,1.0,0.0,0.0,0.0
0.1,10.82,,DMSO,,,,1.0,0.0,0.0,0.0
0.16,12.82,,DMSO,Formamide,,,0.5,0.5,0.0,0.0
0.1169230769230769,14.101052631578948,,DMSO,GBL,,,0.5,0.5,0.0,0.0
0.1,12.64,,DMSO,GBL,,,0.1,0.9,0.0,0.0
0.1079223744292237,15.865066079295154,,DMSO,GBL,,,0.3,0.7,0.0,0.0
0.09,16.048571428571428,,DMSO,GBL,,,0.3,0.7,0.0,0.0
1.0,11.663333333333334,,DMSO,GBL,,,0.8,0.2,0.0,0.0
0.16,17.645000000000003,,DMSO,GBL,,,0.5,0.5,0.0,0.0
0.0975555555555555,15.820714285714285,,DMSO,GBL,,,0.7,0.3,0.0,0.0
0.3175,14.5575,,DMSO,GBL,,,0.9,0.1,0.0,0.0
0.038,10.72,,DMSO,GBL,,,0.1,0.9,0.0,0.0
,19.266,,DMSO,GBL,,,0.7,0.3,0.0,0.0
0.09,14.23,,DMSO,NMP,,,0.9,0.1,0.0,0.0
0.22,14.01,,Diiodooctane,DMF,,,0.0166666666666666,0.9833333333333332,0.0,0.0
0.1536,13.0152,,GBL,,,,1.0,0.0,0.0,0.0
,17.71,,GBL,DMSO,,,0.5,0.5,0.0,0.0
,15.91,,GBL,DMSO,,,0.7,0.3,0.0,0.0
0.06,17.7,,GBL,DMSO,,,0.95,0.05,0.0,0.0
0.1,14.028333333333334,,H2O,,,,1.0,0.0,0.0,0.0
,12.49,,IPA,,,,1.0,0.0,0.0,0.0
1.15,17.936666666666667,,Methanol,THF,,,0.5263157894736842,0.4736842105263157,0.0,0.0
0.0576,11.775,,NMP,,,,1.0,0.0,0.0,0.0
0.0916,16.05,,acetonitrile,DMF,DMSO,,0.0955555555555555,0.7777777777777778,0.1266666666666666,0.0
0.096,18.457272727272727,,acetonitrile,Ethanol,Methylamine,,0.2727272727272727,0.1818181818181818,0.5454545454545454,0.0
1.775,18.6,,acetonitrile,MA(MeOH),,,0.6,0.4,0.0,0.0
0.09,11.872727272727271,,acetonitrile,Methylamine,,,0.2325581395348837,0.7674418604651163,0.0,0.0
